,index,0
32,college_16,14
22,POS消费_count,17
44,isnull,19
116,经济学_count,20
39,college_7,20
53,出国_count,21
60,哲学_count,22
12,2014/10/27_count,22
51,其他_mean,24
4,2013/9/4_count,25
13,2014/9/10_count,25
29,college_11,25
48,remaindermedian,26
30,college_12,26
52,其他_sum,27
101,校车_median,27
81,开水_min,28
6,2014-09-03_library_count,28
97,校医院_sum,28
107,洗衣房_median,28
21,2015/4/15_count,29
100,校车_mean,31
108,洗衣房_min,31
105,洗衣房_max,32
23,POS消费_max,33
85,教务处_max,33
45,libraryActionNum,33
80,开水_median,33
84,教务处_count,33
31,college_13,34
49,remaindermin,35
37,college_5,38
35,college_3,38
118,课内学习_count,38
90,数学_count,38
79,开水_mean,39
95,文印中心_min,41
128,食堂_median,41
38,college_6,42
46,remainderavg,43
55,出门4_library_count,44
15,2015-02-05_min,45
126,食堂_max,45
1,2013-09-03_library_count,47
104,洗衣房_count,47
47,remaindermax,48
20,2015-08-04_library_count,49
2,2013-09-04_library_count,49
78,开水_max,50
67,圈存转账_count,50
123,超市_min,51
42,college_num,51
122,超市_median,52
130,食堂_sum,53
3,2013-10-07_library_count,53
124,超市_sum,53
120,超市_max,53
28,cardActionNum,55
125,食堂_count,55
102,校车_min,55
64,图书馆_median,55
62,图书馆_max,56
24,POS消费_mean,56
14,2014/9/1_count,56
103,校车_sum,57
25,POS消费_min,57
75,小说_count,58
7,2014-09-05_mean,59
92,文印中心_max,60
82,开水_sum,61
129,食堂_min,62
56,卡充值_count,62
0,2013-09-02_sum,64
76,小门_library_count,65
34,college_19,65
27,borrowActionNum,65
16,2015-03-11_sum,66
63,图书馆_mean,67
106,洗衣房_mean,67
8,2014-09-09_library_count,68
93,文印中心_mean,68
98,校车_count,69
70,地点213_count,70
117,计算机_count,70
91,文印中心_count,70
86,教务处_mean,70
121,超市_mean,72
113,淋浴_median,72
73,地点283_sum,73
114,淋浴_min,74
88,教务处_min,74
112,淋浴_mean,75
26,POS消费_sum,76
99,校车_max,76
40,college_8,77
41,college_9,77
94,文印中心_median,77
68,圈存转账_mean,79
61,图书馆_count,80
89,教务处_sum,84
111,淋浴_max,85
54,出门3_library_count,88
87,教务处_median,89
36,college_4,90
65,图书馆_min,93
69,圈存转账_sum,94
5,2014-09-01_mean,96
119,超市_count,96
109,洗衣房_sum,96
66,图书馆_sum,97
33,college_17,98
58,卡充值_sum,98
110,淋浴_count,102
18,2015-07-19_median,103
115,淋浴_sum,105
127,食堂_mean,109
77,开水_count,110
9,2014-09-26_mean,112
17,2015-05-21_mean,116
19,2015-07-23_count,134
11,2014-12-10_min,137
50,score,145
43,college_orderate,145
72,地点232_mean,146
59,卡补办_sum,151
10,2014-10-27_mean,155
96,文印中心_sum,159
57,卡充值_mean,184
74,地点72_sum,188
71,地点21_mean,226
83,换卡_count,233
